writer_id,extreme_more,moderate_more,confidence_more,confidence_less,knowledge_more,knowledge_less,importance_more,importance_less,relevance_more,relevance_less,clarity_more,clarity_less,formality_more,formality_less,informative_more,informative_less,originality_more,originality_less,friendliness_more,friendliness_less,optimism_more,optimism_less,community_more,community_less,open_views_more,open_views_less,hope_more,hope_less,excitement_more,excitement_less,fear_more,fear_less,disgust_more,disgust_less,anger_more,anger_less,age_older,age_younger,gender_different,race_different,english_better,english_worse,education_more,education_less,income_higher,income_lower,politics_party_different,politics_extreme,politics_moderate
627a76715c52f43dd8b4f6a2,39,64,82,17,94,12,89,20,99,19,100,0,76,9,91,7,48,48,67,19,60,32,52,46,65,32,76,20,53,49,21,67,31,61,21,89,6,4,0,0,100,0,92,12,4,6,0,0,52
62ed1d676bc4d1eaeae21c1b,71,85,88,97,58,62,68,45,82,39,99,42,99,99,84,59,79,57,97,96,76,64,86,65,97,97,96,70,80,98,55,95,42,98,42,97,8,8,1,0,18,15,40,11,0,0,0,6,2
5a5a4bc8e0cf3d0001267426,59,79,88,26,93,14,74,19,92,14,77,15,53,34,91,6,75,19,82,16,60,39,69,35,73,35,66,38,72,65,53,46,38,47,39,49,71,75,77,76,89,28,86,25,64,62,37,34,60
5dcc836b6a24b5912d7c33f4,33,46,39,7,49,0,49,0,25,0,26,0,35,0,38,0,47,0,43,0,50,0,50,0,20,0,50,0,33,0,0,50,0,23,6,13,0,0,0,0,38,0,1,0,0,0,0,0,8
5b97f2375612b30001acc4c9,67,86,79,12,86,4,63,15,92,7,96,3,86,4,98,0,44,2,69,0,50,23,91,4,94,2,94,0,49,5,3,86,5,76,1,83,51,51,72,7,94,0,90,1,0,0,0,0,0
5c6c08c5d9c1580001ce9aab,12,51,60,37,66,27,51,51,68,30,83,23,52,48,62,36,49,49,58,41,51,51,43,56,40,49,49,48,43,45,30,32,28,27,20,60,51,51,49,49,72,11,61,38,49,49,22,21,49
5fb281433a31c686f0ec3ecb,45,40,45,40,48,24,47,32,58,24,64,26,53,26,56,21,52,37,46,38,51,40,56,29,42,34,43,30,51,35,35,54,40,43,32,51,48,35,49,30,40,37,33,36,36,39,36,38,42
67d89d92eb4323537c13b656,40,40,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,100,0,0,0,0,100,0,0,0,0,0,100
6560ae1c1cc374fa2049dd0c,12,44,61,51,66,38,70,67,46,43,62,49,50,40,70,42,50,52,68,69,49,68,41,66,64,43,52,51,51,61,49,49,66,47,69,73,54,71,49,78,49,60,67,45,76,44,31,75,54
6773db82cbb90220f9271d38,86,58,59,69,71,70,73,81,83,57,39,73,76,38,73,75,38,83,54,71,26,81,81,72,26,86,95,85,92,92,97,99,49,97,98,99,35,99,96,47,85,92,94,95,58,89,92,33,94
