attribute,attribute_type,spread_metric,spread_writer,spread_model,spread_difference,relative_dispersion_ratio,normalised_entropy_difference,ci_low,ci_high,significant_0_05_bonferroni,significant_0_01_bonferroni,significant_0_001_bonferroni
paragraph_formality,scale,sd,26.536297284349867,21.97402894087202,-4.562268343477847,0.8280744184242876,NA,-4.765997226708811,-4.336896893010607,TRUE,TRUE,TRUE
paragraph_clarity,scale,sd,25.91977718325999,20.80657061951096,-5.113206563749028,0.8027295324494017,NA,-5.401876124490226,-4.844876141905094,TRUE,TRUE,TRUE
paragraph_informativeness,scale,sd,27.305304679618665,24.884815813858673,-2.4204888657599923,0.9113546289206322,NA,-2.6179065191913593,-2.2170294114656173,TRUE,TRUE,TRUE
paragraph_originality,scale,sd,25.0303932129274,25.19643484089012,0.16604162796271993,1.006633600461257,NA,-0.038763075228382605,0.3801858120770874,FALSE,FALSE,FALSE
paragraph_relevance,scale,sd,23.46736336907518,18.7742416090658,-4.6931217600093795,0.8000149532693612,NA,-4.9541039220831795,-4.451872185380865,TRUE,TRUE,TRUE
writer_knowledge,scale,sd,24.514827550625473,20.54833989218702,-3.966487658438453,0.8382004666258706,NA,-4.1786872852528605,-3.737469568773592,TRUE,TRUE,TRUE
writer_importance,scale,sd,23.409416316138643,20.05312239531712,-3.3562939208215212,0.8566263303836557,NA,-3.5773155175630715,-3.1058703154418796,TRUE,TRUE,TRUE
writer_confidence,scale,sd,24.048549742057173,20.4817624124509,-3.566787329606271,0.8516838908015931,NA,-3.828870908046874,-3.29077928592063,TRUE,TRUE,TRUE
writer_stance_polarity,scale,sd,33.12817717822497,32.62897112000886,-0.4992060582161102,0.984931073764474,NA,-0.7339634699946724,-0.25361980675105317,TRUE,TRUE,TRUE
paragraph_hope,scale,sd,24.910890025229943,24.580175271975914,-0.33071475325402844,0.9867240892268772,NA,-0.5350310127016208,-0.13755292726226978,TRUE,TRUE,TRUE
paragraph_excitement,scale,sd,23.002469359792684,24.210279392735092,1.2078100329424082,1.0525078422690395,NA,0.992702043596398,1.4252179460954897,TRUE,TRUE,TRUE
paragraph_fear,scale,sd,27.140808728682188,26.313671838003373,-0.8271368906788155,0.9695242356649194,NA,-1.013634291782915,-0.6367537011313721,TRUE,TRUE,TRUE
paragraph_disgust,scale,sd,27.63902668514374,25.421247644275,-2.2177790408687414,0.9197591483183154,NA,-2.4455562762262386,-1.994992216416222,TRUE,TRUE,TRUE
paragraph_anger,scale,sd,28.1868040288645,26.22452175103359,-1.9622822778309121,0.9303829453022964,NA,-2.1613987490431876,-1.737098267041629,TRUE,TRUE,TRUE
writer_affect_x,scale,sd,23.214607533383482,23.310058223684713,0.09545069030123088,1.0041116650438293,NA,-0.09178091515759944,0.297821483023976,FALSE,FALSE,FALSE
writer_affect_y,scale,sd,19.955877166240075,18.74909375625222,-1.2067834099878567,0.9395274184173971,NA,-1.3852326516840057,-1.0278805342131025,TRUE,TRUE,TRUE
writer_optimism,scale,sd,22.756003251871817,21.827381448252403,-0.9286218036194143,0.9591922275040531,NA,-1.1230452801033641,-0.7289565510545589,TRUE,TRUE,TRUE
writer_community,scale,sd,24.368152280364196,23.06905111937181,-1.299101160992386,0.9466885652204661,NA,-1.5288152145866987,-1.0856984739604225,TRUE,TRUE,TRUE
writer_friendliness,scale,sd,20.105798818156146,18.608206809970184,-1.4975920081859613,0.9255144238868246,NA,-1.7006626568693126,-1.2681727574092843,TRUE,TRUE,TRUE
writer_openness,scale,sd,24.950579259170393,25.76672528416071,0.8161460249903172,1.032710504093421,NA,0.6024444574305671,1.0290885092674298,TRUE,TRUE,TRUE
writer_income,ordinal,entropy_base2,2.305097053074891,2.2938576827255193,-0.011239370349371836,NA,-0.00400354449701505,-0.024875467870967425,0.0018911133024422234,FALSE,FALSE,FALSE
writer_age_binned,ordinal,entropy_base2,1.9709313660337737,2.057858054324335,0.0869266882905615,NA,0.03362783338880567,0.0746671191314374,0.09950995641049129,TRUE,TRUE,TRUE
writer_english_first,ordinal,entropy_base2,0.5139297452269802,0.22036309876842092,-0.2935666464585593,NA,-0.2935666464585593,-0.3066222067303306,-0.28160480096872814,TRUE,TRUE,TRUE
writer_english_skills,ordinal,entropy_base2,1.799139589064933,1.323722962022309,-0.4754166270426241,NA,-0.23770831352131205,-0.48624694483053615,-0.4636747210424574,TRUE,TRUE,TRUE
writer_education,ordinal,entropy_base2,2.379106468982953,2.163199177241953,-0.21590729174099987,NA,-0.07690772906717268,-0.22986299076950717,-0.20097666147394133,TRUE,TRUE,TRUE
writer_gender,nominal,entropy_base2,1.08851523942225,1.1090688337604588,0.020553594338208914,NA,0.012967874210813853,0.011106759292593494,0.030385212789611447,TRUE,TRUE,TRUE
writer_race,nominal,entropy_base2,1.4078523043749125,1.356592856970076,-0.051259447404836456,NA,-0.022076242377059085,-0.07322265048905752,-0.031043537747909567,TRUE,TRUE,TRUE
writer_politicalParty,nominal,entropy_base2,2.575920969682177,2.3991126319071094,-0.17680833777506777,NA,-0.05893611259168926,-0.1916738281166192,-0.16338344114751274,TRUE,TRUE,TRUE
writer_politicalIdeology,nominal,entropy_base2,2.349780973359358,2.2910235597132678,-0.05875741364609022,NA,-0.02273047041483116,-0.07002850448153297,-0.04755449802314226,TRUE,TRUE,TRUE
