attribute,attribute_type,spread_metric,spread_writer,spread_model,spread_difference,relative_dispersion_ratio,normalised_entropy_difference,ci_low,ci_high,significant_0_05_bonferroni,significant_0_01_bonferroni,significant_0_001_bonferroni
paragraph_formality,scale,sd,26.58830071103698,22.062546215297942,-4.5257544957390365,0.8297839886450372,NA,-4.729317350987201,-4.346103886961807,TRUE,TRUE,TRUE
paragraph_clarity,scale,sd,25.832229946246937,21.010546584239165,-4.8216833620077715,0.813346220127299,NA,-5.062654602944984,-4.571828337426534,TRUE,TRUE,TRUE
paragraph_informativeness,scale,sd,27.417522285103296,25.0402820820271,-2.3772402030761945,0.9132948565389581,NA,-2.5818914988609016,-2.18335258460654,TRUE,TRUE,TRUE
paragraph_originality,scale,sd,25.070020218376808,25.23151895807037,0.1614987396935632,1.0064419070382393,NA,-0.02701490208789252,0.34918188440440756,FALSE,FALSE,FALSE
paragraph_relevance,scale,sd,23.39035713662593,18.951518451018146,-4.438838685607784,0.8102278362113077,NA,-4.68002416433513,-4.201214355840186,TRUE,TRUE,TRUE
writer_knowledge,scale,sd,24.48700486651705,20.590695327453606,-3.896309539063445,0.8408825595329886,NA,-4.103465536749125,-3.6803512558355065,TRUE,TRUE,TRUE
writer_importance,scale,sd,23.315820967232092,20.151030406727813,-3.1647905605042794,0.864264245082682,NA,-3.3904919625297913,-2.968241218080912,TRUE,TRUE,TRUE
writer_confidence,scale,sd,23.91786370719534,20.493806541488414,-3.4240571657069268,0.8568410119053882,NA,-3.658790761656041,-3.182521222165064,TRUE,TRUE,TRUE
writer_stance_polarity,scale,sd,33.1400073591916,32.68261251572907,-0.4573948434625308,0.9861981067624697,NA,-0.690669053599183,-0.2224917398664548,TRUE,TRUE,TRUE
paragraph_hope,scale,sd,24.923656364299205,24.589475713520702,-0.334180650778503,0.9865918288274435,NA,-0.5086366009962424,-0.15013973919979356,TRUE,TRUE,TRUE
paragraph_excitement,scale,sd,22.997125720801503,24.228716234598117,1.2315905137966148,1.053554106228267,NA,1.0438790387546706,1.4288493302547813,TRUE,TRUE,TRUE
paragraph_fear,scale,sd,27.124181560290552,26.288544118944973,-0.8356374413455789,0.9691921601583385,NA,-1.0141774270287782,-0.652040715108892,TRUE,TRUE,TRUE
paragraph_disgust,scale,sd,27.627473401601964,25.384447498270898,-2.243025903331066,0.9188117613679069,NA,-2.4541584060892783,-2.04129334245567,TRUE,TRUE,TRUE
paragraph_anger,scale,sd,28.17922831128248,26.227550652460113,-1.9516776588223657,0.9307405569356579,NA,-2.1473514806681373,-1.7592374093611018,TRUE,TRUE,TRUE
writer_affect_x,scale,sd,23.17527846083418,23.297573865221967,0.12229540438778841,1.00527697669715,NA,-0.06085336170167367,0.298505969923334,FALSE,FALSE,FALSE
writer_affect_y,scale,sd,19.879875955144634,18.73312770675248,-1.1467482483921536,0.9423161265704281,NA,-1.318991113371607,-0.97026324498009,TRUE,TRUE,TRUE
writer_optimism,scale,sd,22.73079097594842,21.83943957581837,-0.8913514001300484,0.9607866087425997,NA,-1.0759271580590186,-0.7100953112241702,TRUE,TRUE,TRUE
writer_community,scale,sd,24.376702717479354,23.123006220024855,-1.2536964974544986,0.9485698901945613,NA,-1.4591006242538567,-1.0416965955033628,TRUE,TRUE,TRUE
writer_friendliness,scale,sd,20.106936163651635,18.654453258613568,-1.4524829050380674,0.9277620969591679,NA,-1.6398707214598827,-1.2591671434000749,TRUE,TRUE,TRUE
writer_openness,scale,sd,24.956004209280458,25.69962417461958,0.7436199653391213,1.0297972367332182,NA,0.5502147617547449,0.9335388891067579,TRUE,TRUE,TRUE
writer_income,ordinal,entropy_base2,2.305218038233314,2.295669381362108,-0.009548656871205985,NA,-0.003401300204751972,-0.023062449200266167,0.003806165292279338,FALSE,FALSE,FALSE
writer_age_binned,ordinal,entropy_base2,1.9727173122377624,2.053568274577693,0.0808509623399305,NA,0.031277421748816314,0.0696968466417467,0.0925957592511053,TRUE,TRUE,TRUE
writer_english_first,ordinal,entropy_base2,0.5088815311385186,0.22477005096012737,-0.2841114801783913,NA,-0.2841114801783913,-0.2961341251743147,-0.272508979498507,TRUE,TRUE,TRUE
writer_english_skills,ordinal,entropy_base2,1.794519742486185,1.3295007803449264,-0.4650189621412586,NA,-0.2325094810706293,-0.4755984076506831,-0.45525255700809203,TRUE,TRUE,TRUE
writer_education,ordinal,entropy_base2,2.3802747824912904,2.1639638458054025,-0.21631093668588797,NA,-0.07705151029758163,-0.23034846630082484,-0.2036014868342469,TRUE,TRUE,TRUE
writer_gender,nominal,entropy_base2,1.0905106249944747,1.1109102573715866,0.020399632377111843,NA,0.0128707350286395,0.011617158407046125,0.02884546095835051,TRUE,TRUE,TRUE
writer_race,nominal,entropy_base2,1.409319284534918,1.3620889608571762,-0.047230323677741826,NA,-0.02034099323822213,-0.06594626113243506,-0.02933892379290947,TRUE,TRUE,TRUE
writer_politicalParty,nominal,entropy_base2,2.5734335370166446,2.4031817034658167,-0.17025183355082785,NA,-0.05675061118360928,-0.18310929581208396,-0.15732868034722902,TRUE,TRUE,TRUE
writer_politicalIdeology,nominal,entropy_base2,2.348758173630085,2.28990323346377,-0.058854940166315206,NA,-0.022768198822960016,-0.06855545143774504,-0.04869539554304232,TRUE,TRUE,TRUE
